Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AAPL,Apple Inc.,140.64,7.37873E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
GOOGL,Alphabet Inc.,835.14,5.77433E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
GOOG,Alphabet Inc.,814.43,5.63113E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
MSFT,Microsoft Corporation,64.98,5.02135E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft
FB,"Facebook, Inc.",140.34,4.0558E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
ORCL,Oracle Corporation,44.65,1.83721E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl
CSCO,"Cisco Systems, Inc.",34.08,1.70668E+11,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,32.81,1.70153E+11,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsm
INTC,Intel Corporation,35.16,1.66236E+11,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/intc
IBM,International Business Machines Corporation,173.83,1.63959E+11,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm
SAP,SAP SE,97.89,1.17333E+11,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sap
DCM,"NTT DOCOMO, Inc",24.26,89873246244,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dcm
AVGO,Broadcom Limited,218.97,87886339180,n/a,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
QCOM,QUALCOMM Incorporated,56.92,84073175826,n/a,1991,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/qcom
TXN,Texas Instruments Incorporated,80.59,80560966082,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn
NVDA,NVIDIA Corporation,107.47,63299830000,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda
ADBE,Adobe Systems Incorporated,127.7,63297301375,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
CRM,Salesforce.com Inc,81.61,57739075000,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm
ADP,"Automatic Data Processing, Inc.",103.38,46407548927,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
BIDU,"Baidu, Inc.",168.26,46303805920,275192000,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
ITW,Illinois Tool Works Inc.,132.77,46011534447,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw
YHOO,Yahoo! Inc.,46.4,44381006869,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/yhoo
AMAT,"Applied Materials, Inc.",38.97,42081014187,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
HPE,Hewlett Packard Enterprise Company,22.77,37745931693,n/a,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpe
VMW,"Vmware, Inc.",91.73,37484653515,n/a,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vmw
ATVI,"Activision Blizzard, Inc",49.12,36930722577,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
INFY,Infosys Limited,15.67,35816162609,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/infy
CTSH,Cognizant Technology Solutions Corporation,58.62,35678309323,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
NXPI,NXP Semiconductors N.V.,102.99,35634834757,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/nxpi
ETN,"Eaton Corporation, PLC",72.84,32672861360,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn
MU,"Micron Technology, Inc.",28.43,31351234982,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu
NOK,Nokia Corporation,5.37,31339615414,n/a,1994,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/nok
INTU,Intuit Inc.,119.72,30622619109,n/a,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/intu
ADI,"Analog Devices, Inc.",81.64,29806006218,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
HPQ,HP Inc.,17.23,29132173412,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpq
EA,Electronic Arts Inc.,89.35,27543435487,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
SNAP,Snap Inc.,22.74,26315028896,n/a,2017,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/snap
FISV,"Fiserv, Inc.",115.94,24876544363,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv
WIT,Wipro Limited,10.16,24557256489,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wit
