DATE,Risk Free
9/1/04,4.76
12/1/04,4.9
3/1/05,4.71
6/1/05,4.21
9/1/05,4.27
12/1/05,4.78
3/1/06,4.72
6/1/06,5.31
9/1/06,4.91
12/1/06,4.61
3/1/07,4.75
6/1/07,5.12
9/4/07,4.84
12/3/07,4.3
3/3/08,4.2
6/2/08,4.56
9/2/08,4.27
12/1/08,3.45
3/2/09,3.76
6/1/09,4.44
9/1/09,4.03
12/1/09,3.95
3/1/10,4.25
6/1/10,3.92
9/1/10,3.25
12/1/10,3.78
3/1/11,4.12
6/1/11,3.74
9/1/11,3.03
12/1/11,2.78
3/1/12,2.76
6/1/12,2.11
9/4/12,2.28
12/3/12,2.38
3/1/13,2.68
6/3/13,2.91
9/3/13,3.53
12/2/13,3.56
3/3/14,3.27
6/2/14,3.1
9/2/14,2.92
12/1/14,2.72
3/2/15,2.51
6/1/15,2.74
9/1/15,2.72
12/1/15,2.68
3/1/16,2.42
6/1/16,2.36
9/1/16,2.02
12/1/16,2.94
